recipe_name,ingredients,time_preparation,calories,intolerances,recipe_url,recipe_image_url,category
Endibias con salpicón de marisco,"['mejillones', 'gambas cocidas', 'surimi', 'endivias', 'cebolleta', 'pepinos', 'tomates cereza', 'pimientos verdes', 'pimientos rojos', 'pimientos amarillos', 'aceite', 'sal', 'vinagre', 'cebollino']",30 min,,[],https://www.lecturas.com/recetas/endibias-salpicon-marisco_8523.html,https://content-recetas.lecturas.com/medio/2019/07/17/endibias_con_salpicon_de_marisco_260010e8_800x800.jpg,Ensaladas
Tomate con anchoas y aceitunas,"['tomates', 'cebolleta', 'aceitunas negras sin hueso', 'anchoas', 'pepinos baby', 'salsa mayonesa', 'lechuga unos brotes']",15 min,,[],https://www.lecturas.com/recetas/tomate-anchoas-y-aceitunas_8529.html,https://content-recetas.lecturas.com/medio/2019/07/17/paso_a_paso_para_realizar_tomate_con_anchoas_y_aceitunas_resultado_final_3884db45_800x800.jpg,Ensaladas
Aguacate con gambas y mango,"['aguacates', 'limón', 'cebolleta', 'mango', 'colas de gamba cocida', 'germinados', 'salsa mayonesa']",15 min,,[],https://www.lecturas.com/recetas/aguacate-gambas-y-mango_8530.html,https://content-recetas.lecturas.com/medio/2019/07/17/paso_a_paso_para_realizar_aguacate_con_gambas_y_mango_resultado_final_b83f9a8b_800x800.jpg,Ensaladas
Ensalada de alga dulse,"['alga dulse', 'escarola', 'berros', 'pepino', 'zanahoria', 'cebolla deshidratada', 'chile', 'semillas de sésamo molido', 'jengibre para la vinagreta', 'limones el zumo para la vinagreta', 'aceite de sésamo tostado para la vinagreta', 'sirope de agave para la vinagreta', 'aceite de oliva para la vinagreta', 'sal marina para la vinagreta', 'pimienta para la vinagreta']",15 min,,[],https://www.lecturas.com/recetas/ensalada-alga-dulse_8539.html,https://content-recetas.lecturas.com/medio/2019/07/17/ensalada_de_alga_dulse_3828ca51_800x800.jpg,Ensaladas
"Buddha bowl de falafel, kale y trigo sarraceno","['zanahorias', 'col rizada', 'pipas de calabaza ligeramente tostadas', 'trigo sarraceno', 'crema agria', 'limones el zumo', 'aceite de oliva virgen extra', 'sal', 'garbanzos ya remojados para el falafel', 'dientes de ajo para el falafel', 'cebolletas para el falafel', 'perejil picado para el falafel', 'comino molido para el falafel', 'pan rallado para el falafel', 'levadura en polvo para el falafel', 'aceite de oliva para el falafel']",60 min,,[],https://www.lecturas.com/recetas/buddha-bowl-falafel-kale-y-trigo-sarraceno_5779.html,https://content-recetas.lecturas.com/medio/2019/07/17/buddha_bowl_de_lentejas_aguacate_rucula_y_maiz_y_buddha_bowl_de_falafel_kale_y_trigo_sarraceno_9d6d1ba8_800x800.jpg,Ensaladas
Tabulé fresco de coliflor,"['coliflores', 'sal', 'comino', 'limón el zumo', 'aceite de oliva', 'perejil', 'menta fresca', 'tomates', 'pepinos', 'cebollas rojas', 'diente de ajo']",30 min,,[],https://www.lecturas.com/recetas/tabule-fresco-coliflor_8252.html,https://content-recetas.lecturas.com/medio/2019/07/17/tabule_fresco_de_coliflor_b6e7c9e4_800x800.jpg,Ensaladas
Ensalada tibia de hortalizas,"['col lombarda', 'zanahorias', 'aguacates', 'cebolla morada', 'rúcula', 'calabacín', 'ajo', 'queso feta', 'avellanas', 'germinados de cebolla', 'alcaparras', 'perejil', 'vinagre balsámico', 'aceite', 'sal']",60 min,,[],https://www.lecturas.com/recetas/ensalada-tibia-hortalizas_8343.html,https://content-recetas.lecturas.com/medio/2019/07/17/paso_a_paso_para_realizar_ensalada_tibia_de_hortalizas_resultado_final_749fc4cc_800x800.jpg,Ensaladas
Guisantes con bacalao y patatas,"['guisantes frescos', 'migas de bacalao desalado', 'patatas baby', 'tomates cereza', 'vinagre de manzana', 'eneldo', 'sal', 'aceite de oliva']",50 min,,[],https://www.lecturas.com/recetas/guisantes-bacalao-y-patatas_8405.html,https://content-recetas.lecturas.com/medio/2019/07/17/guisantes_con_bacalao_y_patatas_70cce116_800x800.jpg,Ensaladas
"Ensalada de brotes, nueces y fresas","['fresas', 'nueces', 'queso parmesano', 'cebolleta', 'lechugas', 'rúcula', 'vinagre de manzana', 'aceite de oliva', 'sal']",15 min,,[],https://www.lecturas.com/recetas/ensalada-brotes-nueces-y-fresas_5665.html,https://content-recetas.lecturas.com/medio/2019/03/29/ensalada_de_brotes_nueces_y_fresas_cbb9ab32_800x800.jpg,Ensaladas
Ensalada César con espinacas,"['pechugas de pollo', 'espinacas tiernas', 'queso parmesano', 'huevo', 'diente de ajo', 'zumo de limón', 'vinagre', 'aceite de oliva virgen extra', 'sal', 'pimienta negra']",5 min,,"['Sin gluten', 'Preparación con antelación']",https://www.lecturas.com/recetas/ensalada-cesar-espinacas_8053.html,https://content-recetas.lecturas.com/medio/2019/02/13/ensalada_cesar_con_espinacas_2ec8ed4b_800x800.jpg,Ensaladas
Ensalada César con salmón ahumado,"['lomos de salmón', 'huevos', 'alcachofas en conserva', 'pan', 'lechuga romana', 'queso parmesano en lascas', 'mostaza de dijon', 'diente de ajo', 'vinagre de vino', 'alcaparras', 'aceite de oliva', 'pimienta', 'sal']",25 min,271 Cal,[],https://www.lecturas.com/recetas/ensalada-cesar-salmon-ahumado_8055.html,https://content-recetas.lecturas.com/medio/2019/02/13/ensalada_cesar_con_salmon_ahumado_24dafe9d_800x800.jpg,Ensaladas
Ensalada César con pechuga de pollo y queso parmesano,"['lechugas romana', 'pechugas de pollo', 'pan de molde', 'queso parmesano', 'anchoas en aceite', 'laurel', 'cebolla pequeña', 'perejil', 'pimienta unos granos', 'sal', 'anchoas en aceite para la salsa', 'huevo para la salsa', 'limón para la salsa', 'dientes de ajo para la salsa', 'aceite de girasol para la salsa']",35 min,,[],https://www.lecturas.com/recetas/ensalada-cesar-pechuga-pollo-y-queso-parmesano_8056.html,https://content-recetas.lecturas.com/medio/2019/02/13/ensalada_cesar_con_pechuga_de_pollo_y_queso_parmesano_a932769b_800x800.jpg,Ensaladas
Ensalada César,"['lechugas romana', 'escarolas', 'beicon', 'pan seco', 'queso parmesano', 'diente de ajo', 'filetes de anchoa en aceite para la salsa', 'limón', 'salsa worcester', 'aceite de oliva', 'sal', 'pimienta']",20 min,,[],https://www.lecturas.com/recetas/ensalada-cesar_8057.html,https://content-recetas.lecturas.com/medio/2019/02/13/ensalada_cesar_f5b8e9f8_800x800.jpg,Ensaladas
Cestitos con ensalada de manzana y queso,"['pasta brick', 'lechugas', 'canónigos', 'escarolas', 'queso manchego curado', 'puntas de espárragos blancos', 'manzana', 'pepinillos en vinagre', 'nueces', 'ventresca de atún', 'pimienta negra', 'sal', 'aceite de oliva', 'vinagre']",35 min,305 Cal,[],https://www.lecturas.com/recetas/cestitos-ensalada-manzana-y-queso_395.html,https://content-recetas.lecturas.com/medio/2018/07/19/cestitos-con-ensalada-de-manzana-y-queso_5e1e585a_800x800.jpg,Ensaladas
Ensalada de berros con manzana y salsa de yogur,"['berros', 'manzana', 'nueces', 'uvas pasas', 'apio', 'pepino', 'tomate cereza', 'yogur', 'eneldo', 'diente de ajo', 'zumo de limón', 'sal', 'pimienta negra']",25 min,275 Cal,['Sin gluten'],https://www.lecturas.com/recetas/ensalada-berros-manzana-y-salsa-yogur_447.html,https://content-recetas.lecturas.com/medio/2018/07/19/ensalada-de-berros-con-manzana-y-salsa-de-yogur_dde0c508_800x800.jpg,Ensaladas
Ensalada de tomate con miel y romero,"['tomates', 'rúcula', 'queso curado', 'nueces', 'romero', 'miel', 'vinagre de jerez', 'sal', 'aceite de oliva', 'pimienta negra']",15 min,225 Cal,['Sin gluten'],https://www.lecturas.com/recetas/ensalada-tomate-miel-y-romero_467.html,https://content-recetas.lecturas.com/medio/2018/07/19/ensalada-de-tomate-y-queso-con-miel-y-romero_5d01fa9f_800x800.jpg,Ensaladas
Ensalada griega con paté de pipas de calabaza y alcaparras,"['tomates', 'cebollas moradas', 'aceitunas negras kalamata', 'pepinos', 'orégano fresco', 'diente de ajo', 'aceite de oliva', 'zumo de limón', 'pimienta', 'sal', 'pipas de calabaza previamente remojadas 4 horas en agua para el paté de pipas', 'alcaparras para el paté de pipas', 'zumo de limón']",30 min,,['Preparación con antelación'],https://www.lecturas.com/recetas/ensalada-griega-pate-pipas-calabaza-y-alcaparras_7568.html,https://content-recetas.lecturas.com/medio/2019/02/07/ensalada_griega_con_pate_de_pipas_de_calabaza_y_alcaparras_2385ee8b_800x800.jpg,Ensaladas
Ensalada de quinoa con crudités,"['quinoa', 'cebollas moradas', 'zanahorias', 'apios', 'pimiento amarillo', 'pimiento rojo', 'pimientos verdes italianos', 'hierbas aromáticas frescas', 'aceite de oliva', 'sal', 'pimienta']",25 min,224 Cal,[],https://www.lecturas.com/recetas/ensalada-quinoa-crudites_8022.html,https://content-recetas.lecturas.com/medio/2019/02/06/paso_a_paso_para_realizar_ensalada_de_quinoa_con_crudites_resultado_final_00f8198b_800x800.jpg,Ensaladas
Salpicón de marisco con vinagreta,"['pulpos', 'laurel', 'sal', 'pimentón', 'mejillón', 'palitos de cangrejo', 'lechugas', 'aceite de oliva para la vinagreta', 'vinagre de vino blanco para la vinagreta', 'perejil para la vinagreta', 'limones para la vinagreta', 'pimienta para la vinagreta', 'sal para la vinagreta']",208 Cal,,[],https://www.lecturas.com/recetas/salpicon-marisco-vinagreta_8027.html,https://content-recetas.lecturas.com/medio/2019/02/06/paso_a_paso_para_realizar_salpicon_de_marisco_con_vinagreta_resultado_final_ec62734d_800x800.jpg,Ensaladas
Tomates acordeón,"['tomates', 'queso mozzarella', 'albahaca fresca', 'queso parmesano rallado', 'piñones', 'diente de ajo pelado', 'aceite de oliva', 'piñones tostados para decorar', 'sal']",30 min,,[],https://www.lecturas.com/recetas/tomates-acordeon_8039.html,https://content-recetas.lecturas.com/medio/2019/02/06/paso_a_paso_para_realizar_tomates_acordeon_resultado_final_ab63e2ab_800x800.jpg,Ensaladas
Poke hawaiano,"['lomos de salmón fresco sin piel ni espinas', 'atún fresco y limpio', 'calabacín', 'zanahorias', 'guisantes desgranados', 'judías verdes', 'achicoria', 'berros', 'aceite de oliva virgen', 'crema agria', 'semillas de sésamo', 'sal']",15 min,,[],https://www.lecturas.com/recetas/poke-hawaiano_7272.html,https://content-recetas.lecturas.com/medio/2019/02/04/poke_hawaiano_5c67a35b_800x800.jpg,Ensaladas
Ceviche de coco,"['coco fresco', 'zumo de limón', 'apios', 'diente de ajo', 'chile', 'cebollas rojas', 'pimientos amarillos', 'cilantro', 'aceite de oliva', 'sal', 'pimienta', 'cilantro', 'lima unos gajos']",15 min,,['Preparación con antelación'],https://www.lecturas.com/recetas/ceviche-coco_7327.html,https://content-recetas.lecturas.com/medio/2019/02/05/ceviche_de_coco_f4054afd_800x800.jpg,Ensaladas
"Ensalada tibia con chucrut, hortalizas y manzana","['col rizada para el chucrut', 'sal gorda para el chucrut', 'jengibre para el chucrut', 'lechugas brotes', 'remolacha', 'cebolla morada', 'zanahoria', 'rábano', 'manzanas', 'limón', 'cacahuetes tostados', 'tamari', 'aceite de oliva virgen extra', 'sal']",80 min,,[],https://www.lecturas.com/recetas/ensalada-tibia-chucrut-hortalizas-y-manzana_7474.html,https://content-recetas.lecturas.com/medio/2019/02/05/ensalada_tibia_con_chucrut_hortalizas_y_manzana_4a451ceb_800x800.jpg,Ensaladas
Tartar de mar con aliño de piparras,"['alga ramallo fresca para el tartar', 'alga espagueti en sal para el tartar', 'alga nori en sal para el tartar', 'aceitunas negras de aragón deshuesadas para el tartar', 'pipas de girasol remojadas para la materia grasa', 'aceite de oliva para la materia grasa', 'orégano seco para la materia grasa', 'limón la piel y el zumo para la materia grasa', 'sal para la materia grasa', 'pimienta para la materia grasa', 'agua para la materia grasa', 'guindilla piparra para la vinagreta de piparra', 'xantana para la vinagreta de piparra', 'aceite de oliva para la vinagreta de piparra', 'aceite de oliva para el vinagre de piparra', 'rúcula fresca para el emplatado', 'achicoria roja para el emplatado']",15 min,,[],https://www.lecturas.com/recetas/tartar-mar-alino-piparras_6129.html,https://content-recetas.lecturas.com/medio/2018/11/23/tartar_de_mar_con_alino_de_piparras_776ebc4f_800x800.jpg,Ensaladas
Remolacha con helado de mostaza y comino crujiente,"['remolacha pequeñas para la remolacha cocida en sal', 'sal gorda para la remolacha cocida en sal', 'remolacha cocinada en sal para la brunoisse', 'manzana verde (granny smith) para la brunoisse', 'manzana roja (royal gala) para la brunoisse', 'aguacate para el aliño del tartar', 'remolacha cocida en recortes para el aliño del tartar']",60 min,,[],https://www.lecturas.com/recetas/remolacha-helado-mostaza-y-comino-crujiente_6130.html,https://content-recetas.lecturas.com/medio/2018/11/23/remolacha_con_helado_de_mostaza_y_comino_crujiente_39a4e035_800x800.jpg,Ensaladas
Ensalada de papaya al estilo thai,"['papayas mediana', 'papayas de recortes para la salsa thai', 'zumo de naranja para la salsa thai', 'zumo de lima para la salsa thai', 'zumo de limón para la salsa thai', 'jengibre para la salsa thai', 'piel de naranja para la salsa thai', 'sal para la salsa thai', 'pimienta para la salsa thai', 'leche de coco para la salsa thai', 'aceite de oliva para la salsa thai', 'leche de coco para el granizado de coco', 'cilantro unos brotes']",40 min,,['Preparación con antelación'],https://www.lecturas.com/recetas/ensalada-papaya-estilo-thai_6132.html,https://content-recetas.lecturas.com/medio/2018/11/23/ensalada_de_papaya_al_estilo_thai_9f0158ad_800x800.jpg,Ensaladas
"Endivia rellena de ricota vegana, mandarina y rúcula","['endibia 2 cogollos', 'leche de soja para la ricota', 'aceite de girasol para la ricota', 'anacardos remojados para la ricota', 'zumo de limón para la ricota', 'sal para la ricota', 'rúcula fresca', 'mandarina cortada en supremas']",15 min,,[],https://www.lecturas.com/recetas/endibia-rellena-ricota-vegana-mandarina-y-rucula_6201.html,https://content-recetas.lecturas.com/medio/2018/11/23/endibia_rellena_de_ricota_vegana_mandarina_y_rucula_6ea40592_800x800.jpg,Ensaladas
Tacos de alubias con encurtido de cebolla y mole verde,"['harina de maíz para la tortilla', 'harina de garbanzos para la tortilla', 'agua tibia para la tortilla', 'sal para la tortilla', 'alubias cocidas', 'ajo', 'cebolla', 'tomate', 'salsa de soja', 'agua o caldo vegetal', 'manzana verde para el mole verde', 'almendras tostadas para el mole verde', 'cebolla para el mole verde', 'sal para el mole verde', 'pimienta para el mole verde', 'cilantro para el mole verde', 'aceite de oliva para el mole verde', 'chile verde para el mole verde', 'cebolla para la cebolla encurtida', 'zumo de remolacha para la cebolla encurtida', 'vinagre de arroz para la cebolla encurtida', 'pimienta para la cebolla encurtida', 'sal para la cebolla encurtida']",15 min,,[],https://www.lecturas.com/recetas/tacos-alubias-encurtido-cebolla-y-mole-verde_6202.html,https://content-recetas.lecturas.com/medio/2019/03/13/tacos_de_alubias_con_encurtido_de_cebolla_y_mole_verde_632542d3_800x800.jpg,Ensaladas
Aguacates rellenos de salmón,"['aguacate', 'salmón', 'cebolla morada', 'apio', 'pepino baby', 'limón', 'lima', 'grosellas', 'papaya', 'canónigos media bolsa', 'rúcula media bolsa', 'vinagre', 'aceite', 'sal', 'pimienta']",30 min,390 Cal,[],https://www.lecturas.com/recetas/aguacates-rellenos-salmon_6224.html,https://content-recetas.lecturas.com/medio/2018/11/23/paso_a_paso_para_realizar_aguacates_rellenos_de_salmon_resultado_final_620e1b5e_800x800.jpg,Ensaladas
Ensalada marinera con coliflor en conserva,"['coliflor un bote en conserva de unos 660 gramos', 'tomate', 'pimiento rojo', 'pimiento verde', 'cebolla morada', 'mejillones', 'langostinos cocidos', 'zumo de limón para la vinagreta', 'aceite de oliva para la vinagreta', 'vinagre de manzana para la vinagreta', 'cebollino para la vinagreta', 'sal', 'pimienta']",15 min,193 Cal,[],https://www.lecturas.com/recetas/ensalada-marinera-coliflor-conserva_6241.html,https://content-recetas.lecturas.com/medio/2018/11/23/paso_a_paso_para_realizar_ensalada_marinera_con_coliflor_en_conserva_resultado_final_52843229_800x800.jpg,Ensaladas
Ensalada oriental,"['zanahoria', 'judía verde redonda', 'pepino', 'pimiento rojo', 'pimiento verde', 'pimiento amarillo', 'pimienta', 'salsa de soja', 'sal', 'semillas de sésamo', 'aceite de sésamo']",30 min,167 Cal,[],https://www.lecturas.com/recetas/ensalada-oriental_6260.html,https://content-recetas.lecturas.com/medio/2018/11/23/ensalada_oriental_a7c810af_800x800.jpg,Ensaladas
"Tarta al estilo ""caprese""","['tomates raf', 'tomates cereza', 'mangos', 'queso mozzarella', 'albahaca fresca en hojas', 'orégano fresco', 'aceite', 'sal']",30 min,,[],https://www.lecturas.com/recetas/tarta-estilo-caprese_6300.html,https://content-recetas.lecturas.com/medio/2018/11/23/tarta_al_estilo_caprese_8b546208_800x800.jpg,Ensaladas
Áspic de tomate y huevo,"['tomate rojos', 'cebolleta', 'huevo', 'sardina', 'aceitunas verdes sin hueso', 'espárrago blanco', 'gelatina', 'aceite', 'sal', 'vinagre de manzana', 'rúcula', 'calabacín', 'cebolleta']",30 min,,[],https://www.lecturas.com/recetas/aspic-tomate-y-huevo_6301.html,https://content-recetas.lecturas.com/medio/2018/11/23/aspic_de_tomate_y_huevo_d48383a9_800x800.jpg,Ensaladas
Pincho de sandía a la parrilla,"['sandías', 'queso vegano de almendras', 'rúcula o mezcla de hojas verdes', 'semillas de sésamo tostado', 'sal marina', 'aceite de oliva virgen extra', 'albahaca fresca para la salsa', 'aceite de oliva virgen extra para la salsa', 'vinagre balsámico para la salsa']",25 min,,[],https://www.lecturas.com/recetas/pincho-sandia-a-parrilla_6311.html,https://content-recetas.lecturas.com/medio/2018/11/23/pincho_de_sandia_a_la_parrilla_c7a24eb0_800x800.jpg,Ensaladas
Ensalada de espinacas y naranjas,"['espinacas baby', 'naranja sanguinas', 'cebolla tierna', 'nueces troceadas', 'aceite de oliva virgen extra para la salsa', 'zumo de naranja recién exprimido para la salsa', 'zumo de limón para la salsa', 'sirope de agave para la salsa', 'sal marina', 'pimienta blanca']",15 min,,[],https://www.lecturas.com/recetas/ensaladas-espinacas-y-naranjas_6313.html,https://content-recetas.lecturas.com/medio/2018/11/23/ensaladas_de_espinacas_y_naranjas_b1bef85e_800x800.jpg,Ensaladas
Taquitos frescos,"['lechuga largas', 'mango', 'pimiento rojo', 'cebolla fresca', 'zanahoria', 'col lombarda', 'jengibre', 'tamari', 'brotes de guisante', 'pipas de calabaza', 'chile picante para la salsa', 'pimiento rojo para la salsa', 'tomate para la salsa', 'diente de ajo para la salsa', 'aceite de oliva para la salsa', 'agua para la salsa', 'sal para la salsa']",15 min,,[],https://www.lecturas.com/recetas/taquitos-frescos_6315.html,https://content-recetas.lecturas.com/medio/2018/11/23/taquitos_frescos_e7288760_800x800.jpg,Ensaladas
"Ensalada con naranja, queso de cabra y pistachos","['escarola', 'rúcula', 'naranja', 'queso de cabra en rulo', 'pistachos', 'aceite de oliva virgen', 'vinagre de jerez', 'cebollino', 'sal']",20 min,553 Cal,['Sin gluten'],https://www.lecturas.com/recetas/ensalada-naranja-queso-cabra-y-pistachos_1218.html,https://content-recetas.lecturas.com/medio/2018/11/23/ensalada_con_naranja_queso_de_cabra_y_pistachos_836fbcb1_800x800.jpg,Ensaladas
Ensalada de patata y marisco,"['patata', 'judía verde', 'langostino', 'gula', 'queso fresco', 'mango', 'diente de ajo', 'uvas pasas', 'vinagre', 'aceite', 'sal', 'pimienta']",60 min,,['Sin gluten'],https://www.lecturas.com/recetas/ensalada-patata-y-marisco_2191.html,https://content-recetas.lecturas.com/medio/2018/07/19/ensalada-de-patata-y-marisco_d38805bb_800x800.jpg,Ensaladas
Salpicón de marisco,"['langostino', 'pulpo cocido', 'mejillón cocidos', 'pimiento rojo', 'pimiento verde', 'cebolleta', 'aceite de oliva', 'vinagre de vino blanco', 'sal', 'pimienta negra']",15 min,220 Cal,"['Sin gluten', 'Sin lactosa']",https://www.lecturas.com/recetas/salpicon-marisco_973.html,https://content-recetas.lecturas.com/medio/2018/07/19/salpicon-de-marisco_717fa818_800x800.jpg,Ensaladas
Salpicón de marisco con manzana,"['langostinos', 'gambas', 'palitos de cangrejo', 'pimiento verde italiano', 'limones', 'manzana', 'cebolleta', 'pepinillos en vinagre', 'lechugas hojas variadas (cogollos, escarola, etc...)', 'vinagre de jerez', 'aceite de oliva', 'cebollino unos tallos', 'sal', 'pimienta']",35 min,,"['Sin lactosa', 'Sin gluten']",https://www.lecturas.com/recetas/salpicon-marisco-manzana_1730.html,https://content-recetas.lecturas.com/medio/2018/07/19/paso-a-paso-para-hacer-salpicon-de-marisco-con-manzana-resultado-final_32eacc0e_800x800.jpg,Ensaladas
Cestitos con ensalada de manzana y queso,"['pasta brick', 'lechugas', 'canónigos', 'escarolas', 'queso manchego curado', 'puntas de espárragos blancos', 'manzana', 'pepinillos en vinagre', 'nueces', 'ventresca de atún', 'pimienta negra', 'sal', 'aceite de oliva', 'vinagre']",35 min,305 Cal,[],https://www.lecturas.com/recetas/cestitos-ensalada-manzana-y-queso_395.html,https://content-recetas.lecturas.com/medio/2018/07/19/cestitos-con-ensalada-de-manzana-y-queso_5e1e585a_800x800.jpg,Ensaladas
